steamid,game
76561197970825215,10
76561197970825215,Team Fortress Classic
76561197970825215,Day of Defeat
76561197970825215,Deathmatch Classic
76561197970825215,Half-Life: Opposing Force
76561197970825215,Ricochet
76561197970825215,Half-Life
76561197970825215,Counter-Strike: Condition Zero
76561197970825215,Counter-Strike: Condition Zero Deleted Scenes
76561197970825215,Half-Life: Blue Shift
76561197970825215,Half-Life 2
76561197970825215,Counter-Strike: Source
76561197970825215,Half-Life: Source
76561197970825215,Day of Defeat: Source
76561197970825215,Half-Life 2: Deathmatch
76561197973701057,10
76561197973701057,Team Fortress Classic
76561197973701057,Day of Defeat
76561197973701057,Deathmatch Classic
76561197973701057,Half-Life: Opposing Force
76561197973701057,Ricochet
76561197973701057,Half-Life
76561197973701057,Counter-Strike: Condition Zero
76561197973701057,Counter-Strike: Condition Zero Deleted Scenes
76561197973701057,Half-Life: Blue Shift
76561197973701057,Half-Life 2
76561197973701057,Counter-Strike: Source
76561197973701057,Half-Life: Source
76561197973701057,Day of Defeat: Source
76561197973701057,Half-Life 2: Deathmatch
76561198124872187,10
76561198124872187,Team Fortress Classic
76561198124872187,Day of Defeat
76561198124872187,Deathmatch Classic
76561198124872187,Half-Life: Opposing Force
76561198124872187,Ricochet
76561198124872187,Half-Life
76561198124872187,Counter-Strike: Condition Zero
76561198124872187,Counter-Strike: Condition Zero Deleted Scenes
76561198124872187,Half-Life: Blue Shift
76561198124872187,Half-Life 2
76561198124872187,Counter-Strike: Source
76561198124872187,Half-Life: Source
76561198124872187,Day of Defeat: Source
76561198124872187,Half-Life 2: Deathmatch
76561197993312863,10
76561197993312863,Team Fortress Classic
76561197993312863,Day of Defeat
76561197993312863,Deathmatch Classic
76561197993312863,Half-Life: Opposing Force
76561197993312863,Ricochet
76561197993312863,Half-Life
76561197993312863,Counter-Strike: Condition Zero
76561197993312863,Counter-Strike: Condition Zero Deleted Scenes
76561197993312863,Half-Life: Blue Shift
76561197993312863,Half-Life 2
76561197993312863,Counter-Strike: Source
76561197993312863,Half-Life: Source
76561197993312863,Day of Defeat: Source
76561197993312863,Half-Life 2: Deathmatch
76561198019009765,10
76561198019009765,Team Fortress Classic
76561198019009765,Day of Defeat
76561198019009765,Deathmatch Classic
76561198019009765,Half-Life: Opposing Force
76561198019009765,Ricochet
76561198019009765,Half-Life
76561198019009765,Counter-Strike: Condition Zero
76561198019009765,Counter-Strike: Condition Zero Deleted Scenes
76561198019009765,Half-Life: Blue Shift
76561198019009765,Half-Life 2
76561198019009765,Counter-Strike: Source
76561198019009765,Half-Life: Source
76561198019009765,Day of Defeat: Source
76561198019009765,Half-Life 2: Deathmatch
76561198008797636,10
76561198008797636,Team Fortress Classic
76561198008797636,Day of Defeat
76561198008797636,Deathmatch Classic
76561198008797636,Half-Life: Opposing Force
76561198008797636,Ricochet
76561198008797636,Half-Life
76561198008797636,Counter-Strike: Condition Zero
76561198008797636,Counter-Strike: Condition Zero Deleted Scenes
76561198008797636,Half-Life: Blue Shift
76561198008797636,Half-Life 2
76561198008797636,Counter-Strike: Source
76561198008797636,Half-Life: Source
76561198008797636,Day of Defeat: Source
76561198008797636,Half-Life 2: Deathmatch
76561198094227663,10
76561198094227663,Team Fortress Classic
76561198094227663,Day of Defeat
76561198094227663,Deathmatch Classic
76561198094227663,Half-Life: Opposing Force
76561198094227663,Ricochet
