appid,precio,fecha,reseñas
1000000,9.99,"May 14, 2021",0
1000000,5.55,"May 14, 2021",0
1000000,9.99,"May 14, 2021",0
1000010,4.99,"Oct 16, 2020",4460
1000010,4.19,"Oct 16, 2020",4460
1000010,4.99,"Oct 16, 2020",4460
1000030,4.99,"Oct 14, 2020",1709
1000030,4.33,"Oct 14, 2020",1709
1000030,4.99,"Oct 14, 2020",1709
1000050,0.99,"Jan 21, 2025",0
1000050,0.71,"Jan 21, 2025",0
1000050,0.99,"Jan 21, 2025",0
1000080,1.99,"Jun 24, 2019",1219
1000080,1.54,"Jun 24, 2019",1219
1000080,1.99,"Jun 24, 2019",1219
1000100,12.99,"Jan 24, 2019",0
1000100,6.99,"Jan 24, 2019",0
1000100,12.99,"Jan 24, 2019",0
1000130,2.99,"Jan 6, 2019",0
1000130,2.46,"Jan 6, 2019",0
1000130,2.99,"Jan 6, 2019",0
1000280,13.99,"Sep 9, 2021",0
1000280,8.04,"Sep 9, 2021",0
1000280,13.99,"Sep 9, 2021",0
1000350,0.0,"Jun 24, 2019",0
1000350,0.0,"Jun 24, 2019",0
1000350,0.0,"Jun 24, 2019",0
1000360,17.99,"Feb 16, 2021",7225
1000360,11.97,"Feb 16, 2021",7225
1000360,17.99,"Feb 16, 2021",7225
1000380,0.0,"Feb 1, 2019",0
1000380,0.0,"Feb 1, 2019",0
1000380,0.0,"Feb 1, 2019",0
1000410,24.99,"Feb 27, 2024",1839
1000410,18.5,"Feb 27, 2024",1839
1000410,24.99,"Feb 27, 2024",1839
1000440,12.99,"Feb 2, 2023",397
1000440,9.29,"Feb 2, 2023",397
1000440,12.99,"Feb 2, 2023",397
1000470,6.99,"May 24, 2019",0
1000470,6.21,"May 24, 2019",0
1000470,6.99,"May 24, 2019",0
1000500,12.99,"Dec 5, 2021",0
1000500,10.54,"Dec 5, 2021",0
1000500,12.99,"Dec 5, 2021",0
1000540,0.0,"Mar 21, 2019",0
1000540,0.0,"Mar 21, 2019",0
1000540,0.0,"Mar 21, 2019",0
1000550,0.49,"Feb 20, 2019",0
1000550,0.38,"Feb 20, 2019",0
1000550,0.49,"Feb 20, 2019",0
1000640,9.99,"May 23, 2019",113
1000640,5.48,"May 23, 2019",113
1000640,9.99,"May 23, 2019",113
1000700,14.99,"Jan 7, 2022",156
1000700,10.69,"Jan 7, 2022",156
1000700,14.99,"Jan 7, 2022",156
1000750,19.99,"Apr 1, 2022",0
1000750,16.85,"Apr 1, 2022",0
1000750,19.99,"Apr 1, 2022",0
1000760,19.99,"Mar 1, 2021",1309
1000760,14.51,"Mar 1, 2021",1309
1000760,19.99,"Mar 1, 2021",1309
1000770,11.99,"Oct 7, 2021",199
1000770,6.43,"Oct 7, 2021",199
1000770,11.99,"Oct 7, 2021",199
1000790,0.99,"Jan 1, 2019",0
1000790,0.76,"Jan 1, 2019",0
1000790,0.99,"Jan 1, 2019",0
1000800,0.0,"Jun 16, 2023",0
1000800,0.0,"Jun 16, 2023",0
1000800,0.0,"Jun 16, 2023",0
1000830,0.99,"Jan 8, 2019",136
1000830,0.52,"Jan 8, 2019",136
1000830,0.99,"Jan 8, 2019",136
1000870,0.0,"Dec 22, 2020",0
1000870,0.0,"Dec 22, 2020",0
1000870,0.0,"Dec 22, 2020",0
1000880,3.99,"Sep 10, 2020",0
1000880,2.82,"Sep 10, 2020",0
1000880,3.99,"Sep 10, 2020",0
1000900,0.99,"Jan 10, 2019",0
1000900,0.69,"Jan 10, 2019",0
1000900,0.99,"Jan 10, 2019",0
1001040,19.99,"Dec 19, 2024",173
1001040,11.71,"Dec 19, 2024",173
1001040,19.99,"Dec 19, 2024",173
1001070,0.99,"Feb 22, 2019",115
1001070,0.8,"Feb 22, 2019",115
1001070,0.99,"Feb 22, 2019",115
1001100,15.99,"Oct 9, 2020",0
1001100,8.3,"Oct 9, 2020",0
1001100,15.99,"Oct 9, 2020",0
1001140,19.99,"Feb 7, 2019",309
1001140,11.27,"Feb 7, 2019",309
1001140,19.99,"Feb 7, 2019",309
1001170,0.0,"Jun 25, 2019",0
1001170,0.0,"Jun 25, 2019",0
1001170,0.0,"Jun 25, 2019",0
1001200,0.99,"Jan 31, 2019",0
1001200,0.52,"Jan 31, 2019",0
1001200,0.99,"Jan 31, 2019",0
1001220,14.99,"Jun 2, 2019",240
1001220,7.75,"Jun 2, 2019",240
1001220,14.99,"Jun 2, 2019",240
1001230,12.99,"Jun 14, 2019",0
1001230,9.38,"Jun 14, 2019",0
1001230,12.99,"Jun 14, 2019",0
1001270,17.99,"Jan 19, 2024",6136
